,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Description,Icon,Stations,Source,Address
0,2019-01-01,1546275600,27.7,24.0,25.8,29.0,24.0,26.2,19.2,66.9,2.7,100.0,29.17,rain,0.0,0.0,36.4,18.4,3.2,1012.5,57.3,10.9,81.2,7.0,3.0,06:11:44,1546297904,17:43:54,1546339434,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
1,2019-01-02,1546362000,25.0,23.5,24.1,25.0,23.5,24.1,20.8,81.5,26.5,100.0,83.33,rain,0.0,0.0,56.9,14.4,3.5,1012.0,66.1,9.0,38.0,3.2,1.0,06:12:08,1546384328,17:44:26,1546425866,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
2,2019-01-03,1546448400,28.3,23.7,26.2,31.5,23.7,27.6,21.8,77.1,0.1,100.0,4.17,rain,0.0,0.0,62.6,17.8,47.6,1012.0,65.6,9.7,109.7,9.5,5.0,06:12:31,1546470751,17:44:58,1546512298,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
3,2019-01-04,1546534800,32.1,25.5,28.3,36.6,25.5,30.5,22.6,72.4,1.2,100.0,33.33,rain,0.0,0.0,60.1,30.3,88.8,1012.6,50.4,10.7,196.2,17.0,7.0,06:12:54,1546557174,17:45:31,1546598731,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
4,2019-01-05,1546621200,32.6,25.0,28.2,35.3,25.0,29.8,22.0,70.2,0.0,0.0,0.0,,0.0,0.0,45.4,27.3,97.8,1012.6,36.5,10.9,223.0,19.2,8.0,06:13:16,1546643596,17:46:03,1546685163,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
5,2019-01-06,1546707600,33.0,24.3,28.2,36.6,24.3,30.3,22.4,72.5,0.0,0.0,0.0,,0.0,0.0,53.6,24.3,91.0,1012.6,36.2,10.7,233.7,20.0,8.0,06:13:37,1546730017,17:46:36,1546771596,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
6,2019-01-07,1546794000,33.0,23.3,28.0,34.6,23.3,28.9,20.5,65.9,0.0,0.0,0.0,,0.0,0.0,43.6,19.2,88.4,1012.0,25.5,10.7,251.1,21.4,9.0,06:13:57,1546816437,17:47:08,1546858028,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
7,2019-01-08,1546880400,30.8,23.0,26.8,33.8,23.0,28.1,21.5,73.7,0.9,100.0,16.67,rain,0.0,0.0,47.9,16.0,93.9,1012.3,46.1,10.7,201.7,17.2,8.0,06:14:17,1546902857,17:47:40,1546944460,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
8,2019-01-09,1546966800,33.5,22.8,27.8,35.5,22.8,29.2,21.1,69.2,0.0,0.0,0.0,,0.0,0.0,40.0,18.9,101.3,1012.4,38.6,10.9,236.1,20.3,8.0,06:14:35,1546989275,17:48:12,1547030892,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
9,2019-01-10,1547053200,32.8,24.3,28.1,34.9,24.3,29.4,21.1,67.3,0.0,0.0,0.0,,0.0,0.0,43.2,20.1,91.8,1011.8,40.5,10.9,236.3,20.4,8.0,06:14:53,1547075693,17:48:44,1547117324,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
10,2019-01-11,1547139600,33.5,24.0,28.0,35.3,24.0,29.5,21.0,67.3,0.0,0.0,0.0,,0.0,0.0,40.7,18.3,86.6,1011.6,40.9,10.8,224.3,19.3,8.0,06:15:10,1547162110,17:49:16,1547203756,0.17,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
11,2019-01-12,1547226000,32.0,25.5,28.2,35.7,25.5,30.1,21.9,69.3,0.0,0.0,0.0,,0.0,0.0,36.0,16.6,93.7,1011.5,52.7,10.6,96.1,8.5,5.0,06:15:26,1547248526,17:49:47,1547290187,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS, VVCT, 48912599999",obs,Ben Tre
