,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2023-01-01,1672506000,20.7,7.1,13.7,20.7,5.7,13.5,6.3,62.3,0.0,0.0,0.0,,0.0,0.0,14.4,10.4,13.1,1023.3,26.0,20.0,204.8,17.8,7.0,10.0,06:31:38,1672529498,17:21:02,1672568462,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
1,2023-01-02,1672592400,15.0,11.6,13.8,15.0,11.6,13.8,8.5,71.4,0.0,0.0,0.0,,0.0,0.0,19.4,10.1,23.0,1023.7,92.7,17.7,27.2,2.3,1.0,10.0,06:31:57,1672615917,17:21:40,1672654900,0.34,Overcast,Cloudy skies throughout the day.,cloudy,"['48830099999', 'remote', '59417099999']",obs
2,2023-01-03,1672678800,17.7,12.4,14.3,17.7,12.4,14.3,8.0,67.0,0.0,0.0,0.0,,0.0,0.0,25.9,14.4,23.7,1023.9,99.4,18.8,70.4,6.0,3.0,10.0,06:32:14,1672702334,17:22:19,1672741339,0.37,Overcast,Cloudy skies throughout the day.,cloudy,"['48830099999', 'remote', '59417099999']",obs
3,2023-01-04,1672765200,20.2,13.4,15.9,20.2,13.4,15.9,9.4,66.3,0.0,0.0,0.0,['rain'],0.0,0.0,18.7,7.2,62.6,1021.5,91.4,20.2,134.9,11.6,7.0,10.0,06:32:31,1672788751,17:22:57,1672827777,0.41,Overcast,Cloudy skies throughout the day.,cloudy,"['48830099999', 'remote', '59417099999']",obs
4,2023-01-05,1672851600,18.1,13.8,15.5,18.1,13.8,15.5,12.0,80.3,0.001,100.0,4.17,['rain'],0.0,0.0,15.1,7.9,25.7,1022.6,96.7,19.1,67.8,5.8,3.0,10.0,06:32:46,1672875166,17:23:37,1672914217,0.44,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"['48830099999', 'remote', '59417099999']",obs
5,2023-01-06,1672938000,21.3,11.8,16.5,21.3,11.8,16.5,9.0,63.5,0.0,0.0,0.0,,0.0,0.0,36.0,23.0,19.2,1024.4,37.8,20.0,203.2,17.5,8.0,10.0,06:33:00,1672961580,17:24:17,1673000657,0.47,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
6,2023-01-07,1673024400,22.4,7.1,15.5,22.4,7.1,15.5,7.2,60.2,0.0,0.0,0.0,,0.0,0.0,25.2,10.1,17.1,1020.2,33.7,20.2,198.7,17.2,7.0,10.0,06:33:13,1673047993,17:24:57,1673087097,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
7,2023-01-08,1673110800,22.6,14.1,17.4,22.6,14.1,17.4,9.5,60.9,0.0,0.0,0.0,,0.0,0.0,18.0,7.2,108.0,1018.1,79.8,20.2,76.9,6.6,6.0,10.0,06:33:24,1673134404,17:25:37,1673173537,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
8,2023-01-09,1673197200,21.4,14.8,17.7,21.4,14.8,17.7,11.9,69.6,0.7,100.0,8.33,['rain'],0.0,0.0,18.0,6.5,35.8,1018.5,95.0,19.3,69.0,6.0,3.0,10.0,06:33:35,1673220815,17:26:18,1673259978,0.58,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['48830099999', 'remote', '59417099999']",obs
9,2023-01-10,1673283600,18.7,15.6,16.7,18.7,15.6,16.7,15.2,90.9,0.4,100.0,8.33,['rain'],0.0,0.0,14.4,7.2,21.9,1017.6,96.4,16.1,16.0,1.4,1.0,10.0,06:33:43,1673307223,17:26:59,1673346419,0.61,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['48830099999', 'remote', '59417099999']",obs
