datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
2019-01-01,1546275600,18.3,16.4,17.4,18.3,16.4,17.4,16.4,93.9,8.8,100.0,95.83,['rain'],0.0,0.0,55.8,20.2,29.1,1017.2,100.0,,52.9,4.6,2.0,06:06:26,1546297586,17:32:38,1546338758,0.83,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],obs
2019-01-02,1546362000,19.4,16.9,17.6,19.4,16.9,17.6,16.7,94.7,5.4,100.0,70.83,['rain'],0.0,0.0,56.9,15.8,43.2,1017.2,100.0,,78.0,6.7,3.0,06:06:50,1546384010,17:33:11,1546425191,0.87,"Rain, Overcast",Cloudy skies throughout the day with a chance of rain throughout the day.,rain,['remote'],obs
2019-01-03,1546448400,22.1,17.7,19.5,22.1,17.7,19.5,17.8,90.2,3.3,100.0,58.33,['rain'],0.0,0.0,56.9,21.6,70.6,1017.8,96.8,,184.7,15.9,7.0,06:07:12,1546470432,17:33:44,1546511624,0.9,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,['remote'],obs
2019-01-04,1546534800,21.5,18.1,19.5,21.5,18.1,19.5,17.8,90.5,3.1,100.0,79.17,['rain'],0.0,0.0,46.8,16.2,78.1,1018.9,74.9,,173.0,14.9,6.0,06:07:34,1546556854,17:34:18,1546598058,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['remote'],obs
2019-01-05,1546621200,24.5,18.0,20.4,24.5,18.0,20.4,17.4,84.0,0.0,0.0,0.0,,0.0,0.0,43.2,13.7,73.5,1018.3,61.1,,220.1,18.9,8.0,06:07:55,1546643275,17:34:51,1546684491,0.97,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,['remote'],obs
2019-01-06,1546707600,22.9,17.6,19.9,22.9,17.6,19.9,17.7,87.9,2.3,100.0,50.0,['rain'],0.0,0.0,47.5,18.7,64.6,1018.3,75.8,,190.9,16.4,7.0,06:08:16,1546729696,17:35:25,1546770925,0.0,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['remote'],obs
2019-01-07,1546794000,23.9,16.9,19.6,23.9,16.9,19.6,16.5,82.8,0.0,0.0,0.0,,0.0,0.0,45.4,14.4,54.6,1017.5,31.0,,232.8,20.2,8.0,06:08:35,1546816115,17:35:58,1546857358,0.04,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],obs
2019-01-08,1546880400,23.6,17.7,20.0,23.6,17.7,20.0,17.6,86.8,2.0,100.0,41.67,['rain'],0.0,0.0,47.2,16.9,61.7,1017.0,63.8,,183.6,15.9,8.0,06:08:53,1546902533,17:36:31,1546943791,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,['remote'],obs
2019-01-09,1546966800,23.7,16.6,19.3,23.7,16.6,19.3,16.8,86.2,0.7,100.0,25.0,['rain'],0.0,0.0,45.4,15.1,53.9,1017.7,71.8,,200.9,17.4,7.0,06:09:11,1546988951,17:37:05,1547030225,0.1,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,['remote'],obs
2019-01-10,1547053200,23.7,16.9,19.7,23.7,16.9,19.7,16.9,84.8,0.3,100.0,12.5,['rain'],0.0,0.0,45.0,15.5,62.4,1017.1,78.9,,221.2,19.1,8.0,06:09:27,1547075367,17:37:38,1547116658,0.14,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['remote'],obs
2019-01-11,1547139600,24.0,17.4,20.0,24.0,17.4,20.0,16.9,83.5,0.2,100.0,8.33,['rain'],0.0,0.0,45.7,15.5,57.6,1017.0,89.5,,216.6,18.7,8.0,06:09:43,1547161783,17:38:11,1547203091,0.17,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,['remote'],obs
2019-01-12,1547226000,23.9,17.2,19.9,23.9,17.2,19.9,16.8,83.5,0.0,0.0,0.0,,0.0,0.0,42.8,14.8,54.5,1017.0,83.1,,212.2,18.4,8.0,06:09:58,1547248198,17:38:44,1547289524,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],obs
2019-01-13,1547312400,24.0,16.8,19.7,24.0,16.8,19.7,15.9,79.7,0.0,0.0,0.0,,0.0,0.0,39.6,13.0,41.0,1016.3,23.2,,235.0,20.3,8.0,06:10:11,1547334611,17:39:16,1547375956,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],obs
2019-01-14,1547398800,23.7,14.9,18.8,23.7,14.9,18.8,14.3,76.0,0.0,0.0,0.0,,0.0,0.0,33.1,10.4,40.0,1015.0,19.6,,246.2,21.3,9.0,06:10:24,1547421024,17:39:48,1547462388,0.25,Clear,Clear conditions throughout the day.,clear-day,['remote'],obs
2019-01-15,1547485200,22.9,16.7,18.9,22.9,16.7,18.9,16.1,84.3,3.8,100.0,33.33,['rain'],0.0,0.0,32.0,9.4,34.4,1015.3,83.3,,122.1,10.4,5.0,06:10:36,1547507436,17:40:20,1547548820,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,['remote'],obs
2019-01-16,1547571600,22.9,17.1,19.5,22.9,17.1,19.5,17.2,86.8,2.0,100.0,50.0,['rain'],0.0,0.0,46.4,16.9,51.3,1015.8,84.5,,189.5,16.5,7.0,06:10:47,1547593847,17:40:52,1547635252,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,['remote'],obs
2019-01-17,1547658000,22.0,17.2,19.0,22.0,17.2,19.0,16.5,86.2,0.8,100.0,33.33,['rain'],0.0,0.0,53.3,18.7,55.5,1015.8,84.8,,204.8,17.8,7.0,06:10:56,1547680256,17:41:24,1547721684,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain in the morning and afternoon.,rain,['remote'],obs
2019-01-18,1547744400,23.1,16.8,19.2,23.1,16.8,19.2,15.9,82.2,0.4,100.0,16.67,['rain'],0.0,0.0,58.0,20.2,51.0,1016.3,94.3,,221.6,19.1,8.0,06:11:05,1547766665,17:41:55,1547808115,0.4,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,['remote'],obs
2019-01-19,1547830800,23.6,16.8,19.3,23.6,16.8,19.3,16.5,85.0,0.5,100.0,12.5,['rain'],0.0,0.0,48.6,17.6,45.8,1015.7,83.3,,191.6,16.6,8.0,06:11:12,1547853072,17:42:26,1547894546,0.43,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,['remote'],obs
2019-01-20,1547917200,23.8,15.8,19.3,23.8,15.8,19.3,16.3,83.8,0.4,100.0,16.67,['rain'],0.0,0.0,38.9,12.6,43.4,1015.6,89.1,,221.0,19.1,8.0,06:11:19,1547939479,17:42:56,1547980976,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,['remote'],obs
2019-01-21,1548003600,23.9,16.2,19.4,23.9,16.2,19.4,16.1,82.4,0.0,0.0,0.0,,0.0,0.0,42.8,14.4,26.8,1016.0,95.5,,213.9,18.4,8.0,06:11:24,1548025884,17:43:26,1548067406,0.5,Overcast,Cloudy skies throughout the day.,cloudy,['remote'],obs
2019-01-22,1548090000,21.2,16.3,18.5,21.2,16.3,18.5,16.0,86.1,2.2,100.0,45.83,['rain'],0.0,0.0,51.8,18.0,34.7,1017.5,95.6,,190.6,16.4,7.0,06:11:29,1548112289,17:43:55,1548153835,0.53,"Rain, Overcast",Cloudy skies throughout the day with rain in the morning and afternoon.,rain,['remote'],obs
2019-01-23,1548176400,21.9,13.8,17.2,21.9,13.8,17.2,13.6,80.3,0.0,0.0,0.0,,0.0,0.0,41.0,13.7,31.4,1017.5,91.4,,253.4,21.8,9.0,06:11:32,1548198692,17:44:24,1548240264,0.57,Overcast,Cloudy skies throughout the day.,cloudy,['remote'],obs
2019-01-24,1548262800,21.9,11.4,16.3,21.9,11.4,16.3,11.7,75.1,0.0,0.0,0.0,,0.0,0.0,36.7,12.2,31.6,1017.2,60.1,,255.6,22.2,9.0,06:11:34,1548285094,17:44:53,1548326693,0.6,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],obs
2019-01-25,1548349200,22.9,11.2,17.1,22.9,11.2,17.1,12.3,75.9,0.0,0.0,0.0,,0.0,0.0,26.6,8.3,32.0,1017.9,80.1,,257.5,22.4,9.0,06:11:35,1548371495,17:45:21,1548413121,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,['remote'],obs
2019-01-26,1548435600,22.8,14.5,17.9,22.8,14.5,17.9,14.3,80.4,0.0,0.0,0.0,,0.0,0.0,48.2,16.6,36.9,1018.2,93.8,,227.1,19.6,9.0,06:11:35,1548457895,17:45:48,1548499548,0.67,Overcast,Cloudy skies throughout the day.,cloudy,['remote'],obs
