,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2021-01-01,1609434000,16.6,4.4,9.9,16.6,4.1,9.1,-1.0,49.3,0.0,0.0,0.0,,0.0,0.0,37.8,14.4,25.6,1026.2,4.8,13.0,199.3,17.2,7.0,06:31:46,1609457506,17:21:20,1609496480,0.57,Clear,Clear conditions throughout the day.,clear-day,"['48830099999', 'remote', '59417099999']",obs
1,2021-01-02,1609520400,19.5,1.7,10.5,19.5,1.7,10.1,2.2,59.9,0.0,0.0,0.0,,0.0,0.0,21.2,8.6,66.3,1022.5,13.4,11.9,199.7,17.2,7.0,06:32:04,1609543924,17:21:58,1609582918,0.61,Clear,Clear conditions throughout the day.,clear-day,"['48830099999', 'remote', '59417099999']",obs
2,2021-01-03,1609606800,16.8,4.6,11.1,16.8,4.6,10.9,5.1,68.2,0.0,0.0,0.0,,0.0,0.0,29.5,11.2,35.9,1022.7,67.8,12.5,150.6,12.9,6.0,06:32:21,1609630341,17:22:37,1609669357,0.64,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
3,2021-01-04,1609693200,18.0,11.0,14.4,18.0,11.0,14.4,6.9,61.4,0.0,0.0,0.0,,0.0,0.0,26.6,10.1,33.8,1021.6,50.1,11.9,131.0,11.2,5.0,06:32:37,1609716757,17:23:16,1609755796,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
4,2021-01-05,1609779600,17.7,13.7,15.3,17.7,13.7,15.3,9.4,68.5,0.0,0.0,0.0,,0.0,0.0,26.6,11.2,32.6,1021.0,85.5,11.9,85.6,7.4,3.0,06:32:52,1609803172,17:23:55,1609842235,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
5,2021-01-06,1609866000,15.2,12.3,14.0,15.2,12.3,14.0,7.2,63.7,0.0,0.0,0.0,,0.0,0.0,36.0,16.2,28.7,1019.9,99.5,13.1,83.8,7.3,3.0,06:33:05,1609889585,17:24:35,1609928675,0.75,Overcast,Cloudy skies throughout the day.,cloudy,"['48830099999', 'remote', '59417099999']",obs
6,2021-01-07,1609952400,12.4,7.2,9.4,12.4,3.5,7.2,6.5,82.4,1.2,100.0,41.67,['rain'],0.0,0.0,50.8,22.7,29.2,1022.3,99.9,7.8,45.7,3.8,2.0,06:33:18,1609975998,17:25:15,1610015115,0.79,"Rain, Overcast",Cloudy skies throughout the day with rain.,rain,"['48830099999', 'remote', '59417099999']",obs
7,2021-01-08,1610038800,6.9,4.9,6.0,4.9,0.6,2.5,1.3,72.9,0.001,100.0,4.17,['rain'],0.0,0.0,58.7,26.3,30.1,1027.8,99.8,12.5,41.9,3.6,2.0,06:33:28,1610062408,17:25:56,1610101556,0.82,"Rain, Overcast",Cloudy skies throughout the day with early morning rain.,rain,"['48830099999', 'remote', '59417099999']",obs
8,2021-01-09,1610125200,8.6,5.4,6.9,6.5,1.8,4.3,-3.0,50.2,0.0,0.0,0.0,,0.0,0.0,41.8,18.4,27.4,1025.9,95.0,12.5,92.7,8.0,5.0,06:33:38,1610148818,17:26:37,1610187997,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"['48830099999', 'remote', '59417099999']",obs
9,2021-01-10,1610211600,10.7,6.2,8.3,10.7,3.2,6.6,-2.6,46.5,0.0,0.0,0.0,,0.0,0.0,37.4,16.6,33.7,1025.0,86.6,12.5,114.8,9.9,5.0,06:33:46,1610235226,17:27:18,1610274438,0.89,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['48830099999', 'remote', '59417099999']",obs
