,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2021-01-01,1609434000,16.4,6.2,10.7,16.4,5.3,10.3,4.6,67.5,0.0,0.0,0.0,,0.0,0.0,28.1,14.4,134.1,1024.7,26.4,18.0,205.2,17.8,8.0,06:42:08,1609458128,17:33:46,1609497226,0.57,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"['remote', '48806099999']",obs
1,2021-01-02,1609520400,19.1,4.7,10.8,19.1,4.0,10.3,5.3,69.9,0.0,0.0,0.0,,0.0,0.0,24.8,10.8,125.5,1021.3,14.9,20.0,205.7,17.9,8.0,06:42:27,1609544547,17:34:23,1609583663,0.61,Clear,Clear conditions throughout the day.,clear-day,"['remote', '48806099999']",obs
2,2021-01-03,1609606800,18.9,6.1,11.8,18.9,4.6,11.5,7.2,75.1,0.0,0.0,0.0,,0.0,0.0,30.6,10.8,131.8,1020.8,14.1,20.0,197.2,17.1,7.0,06:42:44,1609630964,17:35:02,1609670102,0.64,Clear,Clear conditions throughout the day.,clear-day,"['remote', '48806099999']",obs
3,2021-01-04,1609693200,20.3,9.9,13.3,20.3,9.9,13.3,9.3,77.8,0.0,0.0,0.0,,0.0,0.0,23.0,7.6,127.7,1021.2,41.8,18.8,187.4,16.3,7.0,06:43:00,1609717380,17:35:41,1609756541,0.68,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
4,2021-01-05,1609779600,20.1,7.9,13.4,20.1,7.9,13.4,10.7,84.5,0.0,0.0,0.0,,0.0,0.0,28.8,10.8,130.7,1019.5,33.6,14.8,197.7,17.1,7.0,06:43:15,1609803795,17:36:20,1609842980,0.72,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
5,2021-01-06,1609866000,17.6,11.5,13.7,17.6,11.5,13.7,11.9,89.2,0.1,100.0,4.17,['rain'],0.0,0.0,27.0,10.8,132.1,1018.3,75.8,10.1,132.7,11.7,5.0,06:43:29,1609890209,17:36:59,1609929419,0.75,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['remote', '48806099999']",obs
6,2021-01-07,1609952400,15.2,12.5,13.7,15.2,12.5,13.7,11.7,88.0,0.1,100.0,4.17,['rain'],0.0,0.0,31.0,14.4,132.2,1018.3,96.7,8.3,75.6,6.4,3.0,06:43:41,1609976621,17:37:39,1610015859,0.79,"Rain, Overcast",Cloudy skies throughout the day with afternoon rain.,rain,"['remote', '48806099999']",obs
7,2021-01-08,1610038800,12.3,7.6,10.1,12.3,5.9,9.4,6.7,79.6,0.1,100.0,4.17,['rain'],0.0,0.0,32.8,14.4,131.1,1023.5,95.7,13.8,49.8,4.4,2.0,06:43:53,1610063033,17:38:19,1610102299,0.82,"Rain, Overcast",Cloudy skies throughout the day with morning rain.,rain,"['remote', '48806099999']",obs
8,2021-01-09,1610125200,8.3,6.6,7.5,7.9,4.4,6.2,3.1,73.7,0.0,0.0,0.0,,0.0,0.0,28.8,10.8,128.9,1023.8,95.8,10.0,64.6,5.5,3.0,06:44:03,1610149443,17:39:00,1610188740,0.86,Overcast,Cloudy skies throughout the day.,cloudy,"['remote', '48806099999']",obs
9,2021-01-10,1610211600,7.9,5.9,7.0,6.8,2.9,5.3,1.8,69.8,0.1,100.0,4.17,['rain'],0.0,0.0,27.4,14.4,134.3,1023.2,94.2,10.0,69.6,5.9,3.0,06:44:11,1610235851,17:39:40,1610275180,0.89,"Rain, Overcast",Cloudy skies throughout the day with late afternoon rain.,rain,"['remote', '48806099999']",obs
