,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,pressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
0,2023-01-01,1672506000,19.1,7.6,12.7,19.1,6.5,12.5,9.2,81.0,0.0,0.0,0.0,,0.0,0.0,13.7,9.4,134.6,1023.0,38.9,22.3,202.5,17.3,7.0,10.0,06:42:00,1672530120,17:33:28,1672569208,0.3,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
1,2023-01-02,1672592400,20.1,8.1,13.2,20.1,7.3,13.0,9.8,82.0,0.0,0.0,0.0,,0.0,0.0,16.9,8.3,135.0,1023.2,26.6,22.5,204.4,17.7,7.0,10.0,06:42:19,1672616539,17:34:06,1672655646,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
2,2023-01-03,1672678800,18.8,8.5,13.4,18.8,7.5,13.1,10.2,82.5,0.0,0.0,0.0,,0.0,0.0,17.6,10.8,135.0,1023.5,57.1,21.0,174.1,15.0,7.0,10.0,06:42:37,1672702957,17:34:44,1672742084,0.37,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
3,2023-01-04,1672765200,22.1,9.2,14.5,22.1,8.7,14.5,11.2,81.7,0.0,0.0,0.0,,0.0,0.0,20.2,8.6,130.9,1021.1,41.7,21.5,201.6,17.4,7.0,10.0,06:42:54,1672789374,17:35:23,1672828523,0.41,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
4,2023-01-05,1672851600,19.8,9.5,13.8,19.8,8.8,13.8,11.2,85.3,0.0,0.0,0.0,,0.0,0.0,19.4,10.4,136.4,1022.3,54.0,22.3,167.6,14.5,6.0,10.0,06:43:09,1672875789,17:36:02,1672914962,0.44,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
5,2023-01-06,1672938000,19.2,10.0,13.6,19.2,9.5,13.6,9.8,79.2,0.1,100.0,4.17,['rain'],0.0,0.0,17.6,7.9,144.9,1024.6,47.8,21.9,106.5,9.3,6.0,10.0,06:43:23,1672962203,17:36:41,1673001401,0.47,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['remote', '48806099999']",obs
6,2023-01-07,1673024400,20.4,8.3,13.4,20.4,8.3,13.4,8.7,75.1,0.0,0.0,0.0,,0.0,0.0,7.6,6.5,131.8,1021.0,20.5,22.3,199.5,17.1,7.0,10.0,06:43:37,1673048617,17:37:21,1673087841,0.5,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
7,2023-01-08,1673110800,22.4,8.7,14.5,22.4,8.7,14.5,8.5,69.5,0.0,0.0,0.0,,0.0,0.0,6.8,6.5,139.5,1018.8,22.3,22.7,204.9,17.8,8.0,10.0,06:43:48,1673135028,17:38:01,1673174281,0.54,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
8,2023-01-09,1673197200,23.7,10.2,16.2,23.7,10.2,16.2,10.9,72.5,0.0,0.0,0.0,,0.0,0.0,9.4,6.5,122.7,1018.7,47.4,22.7,187.8,16.2,7.0,10.0,06:43:59,1673221439,17:38:41,1673260721,0.58,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
9,2023-01-10,1673283600,23.3,13.2,17.5,23.3,13.2,17.5,13.1,76.4,0.1,100.0,4.17,['rain'],0.0,0.0,23.4,11.9,133.2,1017.1,62.8,22.6,183.8,15.7,7.0,10.0,06:44:08,1673307848,17:39:22,1673347162,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['remote', '48806099999']",obs
10,2023-01-11,1673370000,24.8,13.4,17.5,24.8,13.4,17.5,14.2,82.8,0.4,100.0,12.5,['rain'],0.0,0.0,23.0,9.0,131.0,1014.5,56.8,20.8,181.7,15.8,7.0,10.0,06:44:16,1673394256,17:40:02,1673433602,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['remote', '48806099999']",obs
11,2023-01-12,1673456400,27.0,13.7,18.7,26.6,13.7,18.7,13.3,74.2,0.1,100.0,4.17,['rain'],0.0,0.0,24.8,14.4,275.9,1011.6,33.3,21.7,198.0,17.2,7.0,10.0,06:44:23,1673480663,17:40:43,1673520043,0.68,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"['remote', '48806099999']",obs
12,2023-01-13,1673542800,27.6,13.1,19.3,26.8,13.1,19.2,11.2,62.7,0.0,0.0,0.0,,0.0,0.0,33.8,18.4,267.9,1009.9,2.9,22.7,213.4,18.4,8.0,10.0,06:44:28,1673567068,17:41:24,1673606484,0.71,Clear,Clear conditions throughout the day.,clear-day,"['remote', '48806099999']",obs
13,2023-01-14,1673629200,27.2,12.6,18.8,26.2,12.6,18.7,8.1,53.7,0.0,0.0,0.0,,0.0,0.0,30.6,14.8,282.3,1009.0,0.0,22.7,219.5,18.9,8.0,10.0,06:44:33,1673653473,17:42:05,1673692925,0.74,Clear,Clear conditions throughout the day.,clear-day,"['remote', '48806099999']",obs
14,2023-01-15,1673715600,27.1,11.4,17.7,26.4,11.4,17.7,9.5,62.5,0.0,0.0,0.0,,0.0,0.0,28.4,18.0,148.1,1011.3,4.7,22.7,217.3,18.7,8.0,10.0,06:44:35,1673739875,17:42:46,1673779366,0.75,Clear,Clear conditions throughout the day.,clear-day,"['remote', '48806099999']",obs
15,2023-01-16,1673802000,18.6,7.9,12.9,18.6,6.3,12.7,8.8,77.2,0.0,0.0,0.0,,0.0,0.0,25.9,14.8,134.2,1017.7,58.8,22.7,167.3,14.4,8.0,10.0,06:44:37,1673826277,17:43:27,1673865807,0.81,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
16,2023-01-17,1673888400,17.4,6.4,10.4,17.4,4.7,9.4,6.1,75.9,0.0,0.0,0.0,,0.0,0.0,32.0,14.4,133.6,1020.8,58.8,22.7,178.6,15.5,8.0,10.0,06:44:37,1673912677,17:44:08,1673952248,0.84,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
17,2023-01-18,1673974800,16.1,7.5,10.0,16.1,5.3,9.1,6.3,78.3,0.0,0.0,0.0,,0.0,0.0,28.8,11.9,135.0,1022.9,72.4,22.7,127.8,11.1,6.0,10.0,06:44:36,1673999076,17:44:49,1674038689,0.88,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
18,2023-01-19,1674061200,19.6,5.2,11.2,19.6,3.5,10.7,7.0,77.4,0.0,0.0,0.0,,0.0,0.0,25.9,11.9,136.1,1021.3,54.2,21.0,215.7,18.6,8.0,10.0,06:44:33,1674085473,17:45:30,1674125130,0.91,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
19,2023-01-20,1674147600,19.3,6.4,11.5,19.3,4.7,10.9,8.3,82.5,0.1,100.0,4.17,['rain'],0.0,0.0,25.6,11.9,136.8,1020.6,49.7,21.5,176.6,15.3,7.0,10.0,06:44:29,1674171869,17:46:11,1674211571,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"['remote', '48806099999']",obs
20,2023-01-21,1674234000,23.8,7.7,14.1,23.8,6.1,13.8,9.9,78.5,0.0,0.0,0.0,,0.0,0.0,21.2,9.0,137.1,1016.6,33.3,21.9,219.1,19.0,8.0,10.0,06:44:24,1674258264,17:46:52,1674298012,0.98,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"['remote', '48806099999']",obs
