Address,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
Đà Nẵng,2019-01-01,1546275600,21.2,18.0,20.1,17.6,85.8,0.462,100.0,16.67,rain,37.1,22.3,351.0,1022.0,83.9,7.8,25.9,2.3,1.0,0.83
Đà Nẵng,2019-01-02,1546362000,20.0,18.0,19.0,18.1,94.1,2.03,100.0,8.33,rain,32.8,9.4,314.5,1020.9,76.1,5.9,37.7,3.1,2.0,0.87
Đà Nẵng,2019-01-03,1546448400,23.0,19.0,20.4,18.3,88.2,2.553,100.0,8.33,rain,29.9,7.6,304.4,1020.2,78.8,8.0,34.5,3.1,1.0,0.9
Đà Nẵng,2019-01-04,1546534800,25.0,19.4,22.0,19.1,84.3,0.134,100.0,12.5,rain,25.9,11.1,310.5,1019.6,74.0,8.7,63.9,5.6,3.0,0.94
Đà Nẵng,2019-01-05,1546621200,26.6,21.0,23.1,20.4,85.3,0.408,100.0,8.33,rain,25.6,12.9,349.3,1018.3,69.3,9.4,84.9,7.1,3.0,0.97
Đà Nẵng,2019-01-06,1546707600,26.1,22.0,23.5,21.2,87.1,0.1,100.0,4.17,rain,19.1,14.7,332.5,1018.4,67.8,7.9,117.8,10.1,5.0,0.0
Đà Nẵng,2019-01-07,1546794000,28.0,22.0,24.5,22.0,86.4,0.0,0.0,0.0,None,22.3,16.5,100.3,1017.9,54.4,9.9,143.2,12.2,6.0,0.04
Đà Nẵng,2019-01-08,1546880400,27.3,22.0,24.5,21.8,85.6,0.2,100.0,8.33,rain,18.0,14.8,83.1,1017.2,52.6,9.2,153.1,13.2,6.0,0.07
Đà Nẵng,2019-01-09,1546966800,27.0,23.4,25.0,22.4,85.7,0.1,100.0,4.17,rain,21.6,16.5,95.1,1017.5,56.8,8.2,150.2,12.9,6.0,0.1
Đà Nẵng,2019-01-10,1547053200,28.0,21.0,24.2,22.2,88.8,5.299,100.0,8.33,rain,16.6,11.2,29.4,1016.5,66.0,9.9,159.7,13.7,6.0,0.14
Đà Nẵng,2019-01-11,1547139600,28.0,21.0,23.7,21.6,88.4,0.0,0.0,0.0,None,19.4,9.4,339.1,1016.6,54.5,9.6,184.3,16.0,7.0,0.17
Đà Nẵng,2019-01-12,1547226000,27.0,22.0,24.2,21.8,86.9,1.992,100.0,4.17,rain,17.3,12.9,74.3,1016.8,62.1,10.0,169.0,14.6,7.0,0.2
Đà Nẵng,2019-01-13,1547312400,28.0,22.0,24.7,21.5,83.1,0.0,0.0,0.0,None,23.4,13.0,96.5,1016.3,47.0,10.4,164.0,14.1,6.0,0.24
Đà Nẵng,2019-01-14,1547398800,29.0,20.0,24.4,20.3,79.0,0.0,0.0,0.0,None,21.6,11.2,82.6,1015.1,45.5,11.1,160.5,13.8,5.0,0.25
Đà Nẵng,2019-01-15,1547485200,27.0,21.0,23.5,20.8,84.9,0.407,100.0,8.33,rain,22.7,11.2,49.6,1015.4,63.9,8.2,148.6,12.9,5.0,0.3
Đà Nẵng,2019-01-16,1547571600,22.7,21.0,21.9,21.0,94.7,43.173,100.0,16.67,rain,32.0,12.9,259.5,1016.4,74.3,5.3,116.9,10.1,5.0,0.33
