,Address,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
0,Sơn La,2019-01-01,1546275600,14.9,9.2,11.6,8.1,78.9,0.0,0.0,0.0,,24.8,8.3,136.3,1026.7,95.1,18.8,86.9,7.5,4.0,0.83
1,Sơn La,2019-01-02,1546362000,16.6,10.4,13.0,9.4,79.4,0.0,0.0,0.0,,24.1,7.2,135.3,1025.7,90.5,17.5,119.1,10.1,4.0,0.87
2,Sơn La,2019-01-03,1546448400,19.6,11.9,14.5,11.4,81.6,0.0,0.0,0.0,,23.4,7.2,138.2,1023.6,86.3,8.8,118.8,10.3,4.0,0.9
3,Sơn La,2019-01-04,1546534800,22.2,12.0,16.3,12.9,81.3,0.0,0.0,0.0,,18.0,7.6,129.1,1021.8,89.1,15.5,101.6,8.9,5.0,0.94
4,Sơn La,2019-01-05,1546621200,25.4,13.7,18.5,14.7,79.9,0.0,0.0,0.0,,19.8,7.9,114.4,1019.8,93.2,18.0,136.8,11.8,6.0,0.97
5,Sơn La,2019-01-06,1546707600,23.0,16.8,19.0,16.3,84.7,1.5,100.0,25.0,['rain'],19.1,7.6,124.5,1019.5,92.0,13.9,77.0,6.7,4.0,0.0
6,Sơn La,2019-01-07,1546794000,23.0,16.9,19.1,16.6,85.7,0.9,100.0,8.33,['rain'],23.0,7.6,124.4,1018.3,92.0,6.9,88.1,7.7,3.0,0.04
7,Sơn La,2019-01-08,1546880400,20.7,17.0,18.7,16.3,86.3,1.3,100.0,25.0,['rain'],39.6,11.9,121.6,1017.4,99.7,15.5,65.6,5.7,3.0,0.07
8,Sơn La,2019-01-09,1546966800,17.4,14.4,15.6,14.5,93.2,37.0,100.0,12.5,['rain'],34.2,10.8,128.1,1019.0,97.6,9.8,29.8,2.5,2.0,0.1
9,Sơn La,2019-01-10,1547053200,21.2,14.1,17.0,14.9,88.0,3.0,100.0,8.33,['rain'],24.1,14.4,132.1,1018.0,93.2,9.0,73.1,6.2,3.0,0.14
10,Sơn La,2019-01-11,1547139600,24.2,16.0,19.0,16.3,85.1,0.8,100.0,16.67,['rain'],19.4,7.2,118.2,1017.3,81.6,13.8,98.3,8.6,4.0,0.17
11,Sơn La,2019-01-12,1547226000,24.4,16.5,19.2,16.2,83.4,0.1,100.0,4.17,['rain'],16.6,7.2,88.9,1017.3,91.6,12.9,113.1,9.7,5.0,0.2
12,Sơn La,2019-01-13,1547312400,25.9,15.8,19.5,15.8,80.6,0.0,0.0,0.0,,21.2,7.6,70.5,1016.4,59.4,17.6,155.6,13.4,6.0,0.24
13,Sơn La,2019-01-14,1547398800,26.4,14.8,19.0,15.0,79.0,0.0,0.0,0.0,,18.4,9.0,115.8,1015.1,42.9,14.3,182.3,15.7,7.0,0.25
14,Sơn La,2019-01-15,1547485200,23.6,14.7,19.5,16.0,81.3,0.5,100.0,16.67,['rain'],34.9,18.0,128.8,1016.0,81.1,15.5,107.5,9.2,6.0,0.3
15,Sơn La,2019-01-16,1547571600,17.4,11.8,14.3,12.7,89.9,17.0,100.0,8.33,['rain'],30.2,10.8,120.3,1019.8,95.6,13.0,26.3,2.2,1.0,0.33
16,Sơn La,2019-01-17,1547658000,16.7,11.6,13.6,10.9,84.4,0.0,0.0,0.0,,24.5,10.8,134.9,1022.2,95.3,12.5,78.8,6.8,3.0,0.37
17,Sơn La,2019-01-18,1547744400,21.6,12.7,16.0,11.9,77.6,0.0,0.0,0.0,,21.2,7.9,125.7,1020.1,73.2,16.3,135.8,11.7,6.0,0.4
18,Sơn La,2019-01-19,1547830800,24.0,12.6,17.2,13.8,81.6,0.1,100.0,4.17,['rain'],27.0,7.9,110.1,1017.3,55.1,17.5,172.4,14.8,7.0,0.43
