Address,Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
Lâm Đồng,2019-01-01,1546275600,18.3,16.4,17.4,16.4,93.9,8.8,100.0,95.83,['rain'],55.8,20.2,29.1,1017.2,100.0,18.45,52.9,4.6,2.0,0.83
Lâm Đồng,2019-01-02,1546362000,19.4,16.9,17.6,16.7,94.7,5.4,100.0,70.83,['rain'],56.9,15.8,43.2,1017.2,100.0,18.45,78.0,6.7,3.0,0.87
Lâm Đồng,2019-01-03,1546448400,22.1,17.7,19.5,17.8,90.2,3.3,100.0,58.33,['rain'],56.9,21.6,70.6,1017.8,96.8,18.45,184.7,15.9,7.0,0.9
Lâm Đồng,2019-01-04,1546534800,21.5,18.1,19.5,17.8,90.5,3.1,100.0,79.17,['rain'],46.8,16.2,78.1,1018.9,74.9,18.45,173.0,14.9,6.0,0.94
Lâm Đồng,2019-01-05,1546621200,24.5,18.0,20.4,17.4,84.0,0.0,0.0,0.0,,43.2,13.7,73.5,1018.3,61.1,18.45,220.1,18.9,8.0,0.97
Lâm Đồng,2019-01-06,1546707600,22.9,17.6,19.9,17.7,87.9,2.3,100.0,50.0,['rain'],47.5,18.7,64.6,1018.3,75.8,18.45,190.9,16.4,7.0,0.0
Lâm Đồng,2019-01-07,1546794000,23.9,16.9,19.6,16.5,82.8,0.0,0.0,0.0,,45.4,14.4,54.6,1017.5,31.0,18.45,232.8,20.2,8.0,0.04
Lâm Đồng,2019-01-08,1546880400,23.6,17.7,20.0,17.6,86.8,2.0,100.0,41.67,['rain'],47.2,16.9,61.7,1017.0,63.8,18.45,183.6,15.9,8.0,0.07
Lâm Đồng,2019-01-09,1546966800,23.7,16.6,19.3,16.8,86.2,0.7,100.0,25.0,['rain'],45.4,15.1,53.9,1017.7,71.8,18.45,200.9,17.4,7.0,0.1
Lâm Đồng,2019-01-10,1547053200,23.7,16.9,19.7,16.9,84.8,0.3,100.0,12.5,['rain'],45.0,15.5,62.4,1017.1,78.9,18.45,221.2,19.1,8.0,0.14
Lâm Đồng,2019-01-11,1547139600,24.0,17.4,20.0,16.9,83.5,0.2,100.0,8.33,['rain'],45.7,15.5,57.6,1017.0,89.5,18.45,216.6,18.7,8.0,0.17
Lâm Đồng,2019-01-12,1547226000,23.9,17.2,19.9,16.8,83.5,0.0,0.0,0.0,,42.8,14.8,54.5,1017.0,83.1,18.45,212.2,18.4,8.0,0.2
Lâm Đồng,2019-01-13,1547312400,24.0,16.8,19.7,15.9,79.7,0.0,0.0,0.0,,39.6,13.0,41.0,1016.3,23.2,18.45,235.0,20.3,8.0,0.24
Lâm Đồng,2019-01-14,1547398800,23.7,14.9,18.8,14.3,76.0,0.0,0.0,0.0,,33.1,10.4,40.0,1015.0,19.6,18.45,246.2,21.3,9.0,0.25
Lâm Đồng,2019-01-15,1547485200,22.9,16.7,18.9,16.1,84.3,3.8,100.0,33.33,['rain'],32.0,9.4,34.4,1015.3,83.3,18.45,122.1,10.4,5.0,0.3
Lâm Đồng,2019-01-16,1547571600,22.9,17.1,19.5,17.2,86.8,2.0,100.0,50.0,['rain'],46.4,16.9,51.3,1015.8,84.5,18.45,189.5,16.5,7.0,0.33
Lâm Đồng,2019-01-17,1547658000,22.0,17.2,19.0,16.5,86.2,0.8,100.0,33.33,['rain'],53.3,18.7,55.5,1015.8,84.8,18.45,204.8,17.8,7.0,0.37
Lâm Đồng,2019-01-18,1547744400,23.1,16.8,19.2,15.9,82.2,0.4,100.0,16.67,['rain'],58.0,20.2,51.0,1016.3,94.3,18.45,221.6,19.1,8.0,0.4
Lâm Đồng,2019-01-19,1547830800,23.6,16.8,19.3,16.5,85.0,0.5,100.0,12.5,['rain'],48.6,17.6,45.8,1015.7,83.3,18.45,191.6,16.6,8.0,0.43
Lâm Đồng,2019-01-20,1547917200,23.8,15.8,19.3,16.3,83.8,0.4,100.0,16.67,['rain'],38.9,12.6,43.4,1015.6,89.1,18.45,221.0,19.1,8.0,0.47
Lâm Đồng,2019-01-21,1548003600,23.9,16.2,19.4,16.1,82.4,0.0,0.0,0.0,,42.8,14.4,26.8,1016.0,95.5,18.45,213.9,18.4,8.0,0.5
Lâm Đồng,2019-01-22,1548090000,21.2,16.3,18.5,16.0,86.1,2.2,100.0,45.83,['rain'],51.8,18.0,34.7,1017.5,95.6,18.45,190.6,16.4,7.0,0.53
Lâm Đồng,2019-01-23,1548176400,21.9,13.8,17.2,13.6,80.3,0.0,0.0,0.0,,41.0,13.7,31.4,1017.5,91.4,18.45,253.4,21.8,9.0,0.57
Lâm Đồng,2019-01-24,1548262800,21.9,11.4,16.3,11.7,75.1,0.0,0.0,0.0,,36.7,12.2,31.6,1017.2,60.1,18.45,255.6,22.2,9.0,0.6
Lâm Đồng,2019-01-25,1548349200,22.9,11.2,17.1,12.3,75.9,0.0,0.0,0.0,,26.6,8.3,32.0,1017.9,80.1,18.45,257.5,22.4,9.0,0.64
Lâm Đồng,2019-01-26,1548435600,22.8,14.5,17.9,14.3,80.4,0.0,0.0,0.0,,48.2,16.6,36.9,1018.2,93.8,18.45,227.1,19.6,9.0,0.67
Lâm Đồng,2019-01-27,1548522000,21.9,14.9,17.8,14.3,80.9,0.0,0.0,0.0,,43.6,14.8,33.7,1018.3,77.2,18.45,201.7,17.5,7.0,0.7
Lâm Đồng,2019-01-28,1548608400,24.2,12.6,18.0,13.3,75.3,0.0,0.0,0.0,,30.6,10.1,39.2,1017.3,24.6,18.45,264.8,23.0,9.0,0.75
Lâm Đồng,2019-01-29,1548694800,22.9,14.8,18.5,15.5,83.6,0.5,100.0,20.83,['rain'],36.7,13.3,50.5,1017.3,55.7,18.45,202.1,17.6,8.0,0.77
Lâm Đồng,2019-01-30,1548781200,24.5,15.2,19.2,15.3,79.9,0.0,0.0,0.0,,34.9,11.5,52.7,1017.9,69.4,18.45,239.9,20.6,8.0,0.81
Lâm Đồng,2019-01-31,1548867600,24.2,13.6,18.7,13.9,75.6,0.0,0.0,0.0,,34.2,10.8,48.9,1017.5,49.5,18.45,261.7,22.5,9.0,0.84
