Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Moonphase
2019-01-01,1546275600,15.0,12.9,14.0,10.3,78.7,0.0,0.0,0.0,,36.0,20.9,335.4,1026.4,100.0,19.9,52.1,4.6,2.0,0.83
2019-01-02,1546362000,15.8,12.2,14.3,10.8,79.5,0.9,100.0,4.17,['rain'],32.4,18.7,335.4,1025.8,99.9,15.0,38.4,3.3,2.0,0.87
2019-01-03,1546448400,17.7,14.5,16.1,13.1,82.6,0.4,100.0,16.67,['rain'],27.7,15.5,332.2,1023.7,99.1,20.0,63.8,5.5,3.0,0.9
2019-01-04,1546534800,20.1,16.2,17.9,15.2,84.1,0.1,100.0,4.17,['rain'],23.8,13.0,331.4,1021.6,99.6,20.0,50.2,4.3,2.0,0.94
2019-01-05,1546621200,21.7,17.9,19.5,17.1,85.8,0.0,0.0,0.0,,22.3,12.6,338.2,1019.8,99.4,20.0,44.1,3.9,2.0,0.97
2019-01-06,1546707600,21.1,18.7,20.0,18.6,92.0,1.1,100.0,8.33,['rain'],23.4,14.0,358.3,1019.5,99.6,16.3,31.4,2.8,1.0,0.0
2019-01-07,1546794000,22.4,19.2,20.7,19.1,91.0,0.1,100.0,4.17,['rain'],23.8,11.9,342.1,1018.0,98.9,17.5,36.9,3.2,2.0,0.04
2019-01-08,1546880400,23.0,20.1,21.0,20.1,94.6,0.3,100.0,8.33,['rain'],24.8,12.6,28.5,1017.5,91.7,12.6,115.7,9.9,5.0,0.07
2019-01-09,1546966800,22.0,17.1,19.2,18.2,93.7,17.0,100.0,12.5,['rain'],37.1,22.0,4.3,1018.7,100.0,12.5,34.3,2.9,1.0,0.1
2019-01-10,1547053200,20.4,16.7,18.7,16.9,89.7,0.0,0.0,0.0,,21.2,11.2,348.2,1017.9,97.5,20.0,62.1,5.3,3.0,0.14
