Datetime,DatetimeEpoch,Tempmax,Tempmin,Temp,Feelslikemax,Feelslikemin,Feelslike,Dew,Humidity,Precip,Precipprob,Precipcover,Preciptype,Snow,Snowdepth,Windgust,Windspeed,Winddir,Pressure,Cloudcover,Visibility,Solarradiation,Solarenergy,Uvindex,Sunrise,SunriseEpoch,Sunset,SunsetEpoch,Moonphase,Conditions,Description,Icon,Stations,Source,Address
2019-01-01,1546275600,28.0,24.0,26.1,29.6,24.0,26.6,18.9,64.9,3.1,100.0,20.83,rain,0.0,0.0,35.6,21.1,2.7,1012.2,59.8,10.3,72.0,6.3,4.0,06:11:22,1546297882,17:41:39,1546339299,0.83,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-02,1546362000,25.4,24.0,24.7,25.4,24.0,24.7,21.0,79.7,16.1,100.0,70.83,rain,0.0,0.0,47.2,16.2,11.1,1011.7,61.5,9.4,52.4,4.5,3.0,06:11:46,1546384306,17:42:12,1546425732,0.87,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-03,1546448400,30.6,23.4,27.1,34.1,23.4,28.9,21.7,72.9,0.1,100.0,4.17,rain,0.0,0.0,59.8,23.1,64.1,1011.9,58.6,10.1,154.4,13.3,6.0,06:12:09,1546470729,17:42:45,1546512165,0.9,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-04,1546534800,34.0,25.5,29.4,37.9,25.5,31.7,21.8,65.3,0.2,100.0,8.33,rain,0.0,0.0,56.2,29.5,95.3,1012.5,43.4,10.3,209.4,18.2,7.0,06:12:32,1546557152,17:43:17,1546598597,0.94,"Rain, Partially cloudy",Partly cloudy throughout the day with rain clearing later.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-05,1546621200,33.6,25.0,29.1,35.4,25.0,30.7,21.0,63.4,0.0,0.0,0.0,,0.0,0.0,30.6,25.5,109.2,1012.3,32.6,10.3,233.9,20.2,8.0,06:12:54,1546643574,17:43:50,1546685030,0.97,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-06,1546707600,34.0,24.0,28.8,37.3,24.0,31.0,22.1,68.8,0.0,0.0,0.0,,0.0,0.0,46.4,19.6,99.6,1012.3,32.9,10.2,225.8,19.3,8.0,06:13:14,1546729994,17:44:23,1546771463,0.0,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-07,1546794000,34.6,23.6,28.8,34.7,23.6,29.6,19.8,61.1,0.0,0.0,0.0,,0.0,0.0,25.6,15.8,95.0,1011.6,19.3,10.3,250.1,21.4,9.0,06:13:34,1546816414,17:44:56,1546857896,0.04,Clear,Clear conditions throughout the day.,clear-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-08,1546880400,31.4,23.1,27.6,33.5,23.1,28.9,20.9,68.0,0.5,100.0,12.5,rain,0.0,0.0,23.4,17.7,110.1,1012.1,43.4,10.0,192.8,16.7,8.0,06:13:54,1546902834,17:45:28,1546944328,0.07,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-09,1546966800,34.0,23.0,28.3,35.2,23.0,29.8,20.6,64.9,0.0,0.0,0.0,,0.0,0.0,22.3,15.8,114.6,1012.1,47.7,10.3,225.3,19.4,8.0,06:14:12,1546989252,17:46:01,1547030761,0.1,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-10,1547053200,33.4,24.6,28.8,35.7,24.6,30.1,20.5,62.5,0.0,0.0,0.0,,0.0,0.0,31.3,20.1,100.3,1011.4,43.0,10.3,225.0,19.4,8.0,06:14:29,1547075669,17:46:33,1547117193,0.14,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-11,1547139600,33.4,24.0,28.6,35.0,24.0,30.0,20.3,62.3,0.0,0.0,0.0,,0.0,0.0,21.6,14.4,90.7,1011.2,42.1,10.3,203.6,17.6,8.0,06:14:46,1547162086,17:47:05,1547203625,0.17,Partially cloudy,Becoming cloudy in the afternoon.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-12,1547226000,33.0,25.4,28.8,36.4,25.4,30.7,21.7,66.3,0.0,0.0,0.0,,0.0,0.0,18.0,13.3,111.5,1011.1,51.1,10.0,106.1,9.2,4.0,06:15:01,1547248501,17:47:37,1547290057,0.2,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-13,1547312400,34.0,24.0,28.8,36.5,24.0,30.4,21.7,68.5,0.0,0.0,0.0,,0.0,0.0,21.2,12.6,102.0,1010.6,49.6,9.4,238.8,20.6,8.0,06:15:16,1547334916,17:48:08,1547376488,0.24,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-14,1547398800,32.6,23.5,28.2,35.6,23.5,29.7,20.9,66.1,0.0,0.0,0.0,,0.0,0.0,19.8,14.1,240.4,1009.6,32.9,10.1,246.4,21.2,8.0,06:15:30,1547421330,17:48:40,1547462920,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-15,1547485200,31.9,25.0,27.7,34.5,25.0,29.5,22.7,75.7,0.1,100.0,4.17,rain,0.0,0.0,22.3,15.1,202.3,1010.0,51.8,8.8,189.1,16.2,8.0,06:15:43,1547507743,17:49:11,1547549351,0.3,"Rain, Partially cloudy",Partly cloudy throughout the day with morning rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
2019-01-16,1547571600,33.4,25.6,28.8,35.8,25.6,30.5,21.8,67.8,0.1,100.0,4.17,rain,0.0,0.0,31.7,13.4,102.0,1010.2,42.0,10.0,205.3,17.8,8.0,06:15:54,1547594154,17:49:41,1547635781,0.33,"Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain.,rain,"48894099999, 48900099999, VVTS",obs,Ho Chi Minh
